,VaR
2020-10-23,0.010991798265405014
2020-10-26,0.01143752540865664
2020-10-27,0.010767073084561332
2020-10-28,0.010409365700198632
2020-10-29,0.010343726064595087
2020-10-30,
2020-11-02,0.013020290904128921
2020-11-03,0.01275542801328564
2020-11-04,0.013083076375335815
2020-11-05,0.013205241007028024
2020-11-06,0.013101075718165628
2020-11-09,0.010866726618044303
2020-11-10,0.011319756105297235
2020-11-11,0.011370297895453274
2020-11-12,0.00960230934869161
2020-11-13,0.009635221845312568
2020-11-16,0.009705695824456717
2020-11-17,0.008281323874718766
2020-11-18,0.008263125071796527
2020-11-19,0.00824724726577192
2020-11-20,0.008025031810450908
2020-11-23,0.008069719177719025
2020-11-24,0.008245024317448156
2020-11-25,0.008312082208071945
2020-11-27,0.008353252808901215
2020-11-30,
2020-12-01,0.016898204388674676
2020-12-02,0.016831919339670265
2020-12-03,0.017037132989240433
2020-12-04,0.014358232349588353
2020-12-07,0.014459947015665208
2020-12-08,0.01465328469748485
2020-12-09,0.01437703347678393
2020-12-10,0.014610342650483497
2020-12-11,0.014710070702689424
2020-12-14,0.014696368156420805
2020-12-15,0.011527957747981389
2020-12-16,0.010779747410080684
2020-12-17,0.010805175683801635
2020-12-18,0.010815067121113764
2020-12-21,0.011978354547819328
2020-12-22,0.011906782566210588
2020-12-23,0.009032171437402332
2020-12-24,0.009522193061115248
2020-12-28,0.00855575329785029
2020-12-29,0.009112427999173507
2020-12-30,0.008344320137931117
2020-12-31,
2021-01-04,
2021-01-05,0.01928711327786581
2021-01-06,0.01886162199925699
2021-01-07,0.017751939601766256
2021-01-08,0.027309373399759997
2021-01-11,0.012748184666895009
2021-01-12,0.013530407500603674
2021-01-13,0.012313784959276609
2021-01-14,0.010638432826122158
2021-01-15,0.010847660168087034
2021-01-19,0.008768165751042346
2021-01-20,0.008531146542037727
2021-01-21,0.008487575042093538
2021-01-22,0.007745918717298555
2021-01-25,0.007809751248480611
2021-01-26,0.007750953938530779
2021-01-27,0.007783236624322184
2021-01-28,0.007862273131232821
2021-01-29,
2021-02-01,0.012318070344528932
2021-02-02,0.011052762159309747
2021-02-03,0.011227231729327788
2021-02-04,0.011420337599173885
2021-02-05,0.011275984580478826
2021-02-08,0.011575732400144078
2021-02-09,0.01169289461200059
2021-02-10,0.011643712614249561
2021-02-11,0.011759227596025951
2021-02-12,0.010803032041521192
2021-02-16,0.011103684246816006
2021-02-17,0.011220401068143598
2021-02-18,0.010555371076380316
2021-02-19,0.010638435383135542
2021-02-22,0.01163784639953322
2021-02-23,0.012380675084768193
2021-02-24,0.012097726391127984
2021-02-25,0.011921912097460548
2021-02-26,
2021-03-01,0.01684644205793242
2021-03-02,0.016796734157336703
2021-03-03,0.014594243213387285
2021-03-04,0.012308672468186415
2021-03-05,0.012662998388707923
2021-03-08,0.012463516016737466
2021-03-09,0.012468089787026163
2021-03-10,0.01265122211895978
2021-03-11,0.012556908166331758
2021-03-12,0.012577509657433487
2021-03-15,0.012599384849409706
2021-03-16,0.01244245145331195
2021-03-17,0.012539851740588717
2021-03-18,0.011758176325440978
2021-03-19,0.01175272151831611
2021-03-22,0.011690625709990897
2021-03-23,0.011723294171228657
2021-03-24,0.011653575550856771
2021-03-25,0.010756286913175038
2021-03-26,0.01096374136212472
2021-03-29,0.012522854707596301
2021-03-30,0.01285616302152442
2021-03-31,
2021-04-01,
2021-04-05,0.019494831262691383
2021-04-06,0.01964920337445863
2021-04-07,0.01937731565837793
2021-04-08,0.01947955202951883
2021-04-09,0.019146920676004
2021-04-12,0.014540045981421775
2021-04-13,0.014562226008457416
2021-04-14,0.014451977950661157
2021-04-15,0.014395861000736976
2021-04-16,0.014378943575960437
2021-04-19,0.012622886441134901
2021-04-20,0.010667541116988132
2021-04-21,0.012476496391406307
2021-04-22,0.012117068647066789
2021-04-23,0.0094589073567436
2021-04-26,0.009313600692586228
2021-04-27,0.009431607287560585
2021-04-28,0.00935162894677053
2021-04-29,0.009267328252991959
2021-04-30,
2021-05-03,
2021-05-04,
2021-05-05,0.02030208707907609
2021-05-06,0.013530014063932165
2021-05-07,0.0136228152592327
2021-05-10,0.010389621719757134
2021-05-11,0.010179831432583858
2021-05-12,0.010295718493628463
2021-05-13,0.009785320268390515
2021-05-14,0.009749068193289228
2021-05-17,0.00977199575120188
2021-05-18,0.0086429168714739
2021-05-19,0.008243759894189004
2021-05-20,0.008317939580128234
2021-05-21,0.008476387911740005
2021-05-24,0.008688550655531455
2021-05-25,0.008758486891244267
2021-05-26,0.008811543450459567
2021-05-27,0.008866064376761885
2021-05-28,
2021-06-01,
2021-06-02,
2021-06-03,0.008372835596670932
2021-06-04,0.008398801685191576
2021-06-07,0.008375181398125407
2021-06-08,0.008360739740992803
2021-06-09,0.008382101873102293
2021-06-10,0.008394887202855198
2021-06-11,0.008668962892369778
2021-06-14,0.008674587774468478
2021-06-15,0.008638845085268116
2021-06-16,0.008767098302282944
2021-06-17,0.008882836524311308
2021-06-18,0.007818288934876847
2021-06-21,0.007898683004705406
2021-06-22,0.007975726821887729
2021-06-23,0.006690644273442672
2021-06-24,0.006679948105040053
2021-06-25,0.006761727555358011
2021-06-28,0.0078515833973631
2021-06-29,0.007992279258766022
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-06,0.020553735601210373
2021-07-07,0.01347620635207544
2021-07-08,0.007777191827450007
2021-07-09,0.00696143407008681
2021-07-12,0.006242755619958565
2021-07-13,0.006178112588201864
2021-07-14,0.006233070135467218
